benchmark,task,condition,model,backend,rounds,reward,wall_sec,tool_calls,error
tb2,chess-best-move,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,83,19,
tb2,chess-best-move,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,91,22,
tb2,build-pmars,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,110,50,
tb2,code-from-image,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,114,39,
tb2,circuit-fibsqrt,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,120,57,
tb2,feal-differential-cryptanalysis,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,4,0,Process closed stdout (rc=None)
tb2,build-pmars,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,125,57,
tb2,db-wal-recovery,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,127,0,ACP error 400: The input token count exceeds the maximum number of tokens allowed 1048576.
tb2,dna-assembly,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,61,13,
tb2,fix-ocaml-gc,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,fix-ocaml-gc,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,2,0,Process closed stdout (rc=None)
tb2,git-multibranch,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,dna-assembly,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,80,18,
tb2,build-pov-ray,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,217,68,
tb2,extract-elf,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,136,47,
tb2,hf-model-inference,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,95,18,
tb2,git-multibranch,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,107,32,
tb2,build-cython-ext,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,270,121,
tb2,count-dataset-tokens,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,285,40,
tb2,dna-insert,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,182,31,
tb2,filter-js-from-html,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,179,10,
tb2,kv-store-grpc,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,94,26,
tb2,crack-7z-hash,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,317,95,
tb2,make-doom-for-mips,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,count-dataset-tokens,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,348,58,
tb2,log-summary-date-ranges,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,87,20,
tb2,mailman,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,80,29,
tb2,log-summary-date-ranges,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,108,50,
tb2,fix-code-vulnerability,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,274,103,
tb2,mailman,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,115,41,
tb2,llm-inference-batching-scheduler,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,180,49,
tb2,modernize-scientific-stack,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,76,28,
tb2,nginx-request-logging,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,large-scale-text-editing,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,207,12,
tb2,mteb-retrieve,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,95,15,Process closed stdout (rc=None)
tb2,multi-source-data-merger,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,71,15,Process closed stdout (rc=None)
tb2,multi-source-data-merger,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,53,5,Process closed stdout (rc=None)
tb2,mteb-retrieve,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,100,14,Process closed stdout (rc=None)
tb2,large-scale-text-editing,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,214,0,Process closed stdout (rc=None)
tb2,merge-diff-arc-agi-task,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,126,23,Process closed stdout (rc=None)
tb2,custom-memory-heap-crash,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,474,55,Process closed stdout (rc=None)
tb2,db-wal-recovery,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,474,0,Process closed stdout (rc=None)
tb2,feal-linear-cryptanalysis,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,349,0,Process closed stdout (rc=None)
