benchmark,task,condition,model,backend,rounds,reward,wall_sec,tool_calls,error
tb2,adaptive-rejection-sampler,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,67,6,
tb2,adaptive-rejection-sampler,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,145,29,
tb2,adaptive-rejection-sampler,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,120,25,
tb2,bn-fit-modify,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,390,10,
tb2,bn-fit-modify,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,107,26,
tb2,bn-fit-modify,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,157,45,
tb2,break-filter-js-from-html,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,316,105,
tb2,break-filter-js-from-html,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,519,221,
tb2,break-filter-js-from-html,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,256,133,
tb2,build-cython-ext,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,164,43,
tb2,build-cython-ext,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,0,0,Process closed stdout (rc=None)
tb2,build-cython-ext,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,326,118,
tb2,build-pmars,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,109,31,
tb2,build-pmars,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=127)
tb2,build-pmars,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,135,59,
tb2,build-pov-ray,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,137,25,
tb2,build-pov-ray,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,build-pov-ray,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,667,75,
tb2,caffe-cifar-10,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,80,15,
tb2,caffe-cifar-10,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,108,31,
tb2,caffe-cifar-10,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,118,42,
tb2,cancel-async-tasks,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,76,5,
